Daniel Johnson - 2021 Adelaide Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Sunday,10,10,33:14:00,17.6,7.1,1.7,15.2,1.9,5.2,0.2,0.2,1.5,0.3,1.8,4.7-9.0,0.522,1.1-4.3,0.256,4.9-5.3,0.925,0.563,21.2,8.5,2,20.9,1.8,0.2,0.2,6.4
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
vs Brisbane,6,6,29:15:00,22.5,5.8,2.8,23.3,1.8,4,0.3,0,1.3,0,3.2,7.0-12.2,0.575,1.7-3.3,0.5,3.5-4.2,0.84,0.649,30.8,8,3.9,31,1.8,0.5,0,5.7
vs Cairns,5,5,33:29:00,21.8,8.2,2.8,20.2,2.4,5.8,0.8,0.2,2,0.8,1.6,5.4-10.4,0.519,1.8-5.6,0.321,5.6-6.2,0.903,0.582,26,9.8,3.3,26.8,2.4,1,0.2,7.4
vs Illawarra,5,5,30:22:00,14.8,7.6,2,15.1,1.4,6.2,0,0,1.8,0.6,1.4,2.4-6.2,0.387,1.6-3.2,0.5,5.2-5.8,0.897,0.619,19.5,10,2.6,21.9,2.4,0,0,7.6
vs Melbourne,4,4,34:33:00,18.8,8.8,1.8,14.8,2.8,6,0.8,0,2.3,1.5,2.3,4.3-11.3,0.378,1.3-3.0,0.417,6.5-8.3,0.788,0.524,21.7,10.1,2,20,2.6,0.9,0,9.5
vs NZ Breakers,5,5,32:22:00,17.6,5.4,2.8,14.2,1.8,3.6,0,0.4,2,1.2,2.2,4.2-10.2,0.412,1.2-3.4,0.353,5.6-6.8,0.824,0.53,21.8,6.7,3.5,18.3,2.5,0,0.5,8.4
vs Perth,4,4,35:32:00,18.5,7.5,1.8,15.3,1.5,6,0,0,2,0.3,1.5,5.5-9.0,0.611,1.5-3.8,0.4,3.0-3.8,0.8,0.642,20.8,8.4,2,21.7,2.3,0,0,4.2
vs South East Melbourne,5,5,34:23:00,23.2,7,2.4,20.4,1.4,5.6,0.2,0.4,3,0.6,2,6.8-10.8,0.63,1.0-2.8,0.357,6.6-7.4,0.892,0.688,27,8.1,2.8,27.5,3.5,0.2,0.5,8.6
vs Sydney,5,5,34:18:00,17.2,6.2,2.2,13.9,2,4.2,0,0.4,1.4,0.4,2.2,3.8-9.0,0.422,1.6-4.6,0.348,4.8-5.2,0.923,0.541,20.1,7.2,2.6,18.7,1.6,0,0.5,6.1
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
at Adelaide Arena,1,1,23:01,19,3,3,25.2,1,2,0,0,0,0,3,4.0-9.0,0.444,2.0-4.0,0.5,5.0-5.0,1,0.625,33,5.2,5.2,31.3,0,0,0,8.7
at Adelaide Entertainment Centre,15,15,32:36:00,20.7,6.9,2.9,19.5,1.7,5.2,0.2,0.2,2.3,0.7,2.2,4.9-9.1,0.54,1.6-3.5,0.462,6.0-7.1,0.849,0.658,25.4,8.4,3.5,26.2,2.9,0.2,0.2,8.7
at Cairns Pop-Up Arena,3,3,34:15:00,21.3,7.3,2.7,19.3,2,5.3,1.3,0,1.3,1,2,4.7-9.0,0.519,2.7-7.7,0.348,4.0-4.3,0.923,0.574,24.9,8.6,3.1,25.3,1.6,1.6,0,5.1
at John Cain Arena,11,11,34:52:00,18.9,8,2.1,15.3,2.4,5.6,0.3,0.2,2.2,0.5,1.6,5.7-11.7,0.488,.5-2.7,0.2,5.8-6.7,0.865,0.543,21.7,9.2,2.4,20.9,2.5,0.3,0.2,7.7
at Perth Arena,1,1,33:49:00,19,8,2,14.2,1,7,0,0,3,0,3,6.0-11.0,0.545,2.0-3.0,0.667,1.0-2.0,0.5,0.638,22.5,9.5,2.4,22.5,3.5,0,0,2.4
at Qudos Bank Arena,2,2,34:57:00,21.5,8,1,17.5,3.5,4.5,0,0.5,1.5,0.5,2,4.5-11.0,0.409,2.5-5.5,0.455,5.0-5.0,1,0.575,24.6,9.2,1.1,22.9,1.7,0,0.6,5.7
at Silverdome,1,1,31:38:00,20,1,1,15.8,0,1,0,1,0,0,3,7.0-14.0,0.5,1.0-2.0,0.5,3.0-3.0,1,0.577,25.3,1.3,1.3,19,0,0,1.3,3.8
at State Basketball Centre,1,1,36:59:00,17,8,4,15.1,1,7,0,0,1,0,2,2.0-8.0,0.25,2.0-4.0,0.5,7.0-7.0,1,0.564,18.4,8.7,4.3,21.6,1.1,0,0,7.6
at The Trusts Arena,1,1,30:18:00,18,6,0,10.8,2,4,0,0,2,3,4,5.0-11.0,0.455,2.0-5.0,0.4,2.0-3.0,0.667,0.52,23.8,7.9,0,15.8,2.6,0,0,4
at WIN Entertainment Centre,2,2,23:53,9,6.5,1.5,10.8,1.5,5,0,0,1.5,0.5,1,1.5-4.0,0.375,1.5-3.5,0.429,1.5-2.0,0.75,0.537,15.1,10.9,2.5,17.6,2.5,0,0,3.3
