Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Thursday,12,12,32:36:00,30.7,4.9,5.7,30,0.6,4.3,1.8,0.3,3.6,0.3,2.3,4.8-8.1,0.588,5.3-10.8,0.488,5.4-5.8,0.929,0.717,37.6,6,7,37.3,4.4,2.1,0.3,7.2
Friday,15,15,34:35:00,31.4,6.6,7.5,29.9,1.1,5.5,2.1,0.1,3.9,0.9,2.3,4.2-8.3,0.504,5.7-11.9,0.475,6.0-6.5,0.928,0.679,36.3,7.6,8.6,37.9,4.5,2.4,0.1,7.5
Saturday,19,19,33:58:00,28.4,5,6.4,26.5,0.8,4.2,1.7,0.2,3,0.8,1.7,4.4-8.3,0.535,4.9-11.5,0.425,4.8-5.5,0.885,0.639,33.4,5.9,7.6,32.5,3.5,2,0.2,6.4
Sunday,11,11,31:03:00,21.7,4.7,4.6,19.6,0.4,4.4,1.8,0.3,3.7,0.5,1.8,4.2-6.9,0.605,3.5-9.9,0.358,2.7-3.2,0.857,0.596,28,6.1,6,25.6,4.8,2.3,0.4,4.1
vs Eastern,37,37,35:06:00,29.9,5.6,5.7,25.5,0.9,4.7,1.7,0.3,4.2,0.8,2.4,5.0-9.2,0.544,5.2-11.1,0.468,4.3-4.8,0.899,0.667,34.1,6.4,6.5,32.4,4.8,1.9,0.3,5.5
vs Western,66,65,32:39:00,27.8,5.1,6.8,28.3,0.8,4.3,2.1,0.2,3,0.5,1.9,4.6-8.1,0.566,4.7-10.8,0.433,4.6-5.1,0.904,0.657,34.1,6.2,8.3,35.3,3.7,2.6,0.2,6.2
vs Eastern Atlantic,11,11,34:55:00,28.5,4.5,5.6,22.1,0.6,3.9,1.4,0.2,5,0.8,2.4,4.4-8.5,0.511,5.4-11.5,0.468,3.7-4.5,0.837,0.65,32.7,5.2,6.5,27.8,5.7,1.6,0.2,5.1
vs Eastern Central,17,17,35:22:00,26.2,6.1,5.8,22.7,1.2,4.9,1.7,0.4,3.7,0.8,2.5,4.3-8.2,0.525,4.2-10.4,0.401,5.1-5.6,0.916,0.623,29.7,6.9,6.5,29.3,4.2,1.9,0.4,6.3
vs Eastern Southeast,9,9,34:49:00,38.7,6.1,5.6,35.1,0.7,5.4,2.1,0.3,4.3,0.8,2.2,7.2-12.1,0.596,6.9-11.9,0.579,3.6-3.8,0.941,0.753,44.4,7,6.4,44,5,2.4,0.4,4.3
vs Western Northwest,29,28,34:10:00,27.9,5,7.1,25.8,0.8,4.2,2.1,0.2,3.5,0.7,2,4.6-8.9,0.516,4.8-11.2,0.428,4.3-4.9,0.874,0.625,32.6,5.9,8.4,32.1,4.1,2.4,0.2,5.8
vs Western Pacific,18,18,32:00:00,27,5.4,6.6,28.3,0.9,4.5,1.8,0.1,3,0.3,2.3,3.8-6.4,0.586,4.9-10.9,0.447,4.8-5.4,0.887,0.683,33.8,6.7,8.2,35.7,3.8,2.3,0.1,6.7
vs Western Southwest,19,19,30:58:00,28.6,4.9,6.4,32.7,0.7,4.2,2.4,0.2,2.2,0.6,1.5,5.3-8.4,0.631,4.4-10.2,0.428,4.8-5.0,0.968,0.686,36.9,6.3,8.2,40.3,2.8,3.1,0.2,6.5
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
